Source,Target,Weight
20897575,20882845,2.0
1064563,11851236,0.5
5474834,5806776,0.5
9060347,24560307,0.5
4010478,3678731,0.5
21950910,6506651,0.5
24560307,599695,0.5
4128353,11545928,1.0
3638964,24474138,1.0
12256376,14562056,37.0
18533350,16999953,1.0
734934,26820697,0.5
238986,238972,2.5
16384837,6543378,1.5
31404632,11061773,5.0
25882864,658518,0.5
26885919,26650305,3.0
4821436,2935735,1.0
23403252,27776551,2.5
17324120,27776551,1.5
21397581,10270250,0.5
321278,3342055,2.0
238972,910744,0.5
363387,238972,1.5
13726895,3319769,0.5
7083242,23096959,2.0
1606654,3786218,0.5
12765913,1200050,0.5
5254650,1090311,1.5
4912314,3638964,0.5
24850617,943149,0.5
22641745,15480067,3.0
10697582,321278,0.5
22387458,2055965,1.0
27494663,10826219,1.0
10435644,10707658,0.5
4973784,3308958,13.0
2932773,1020639,1.5
24774804,931135,0.5
12468921,8276387,0.5
1965901,3342055,0.5
8201256,206084,1.0
11369603,17912002,0.5
28726977,481872,0.5
28305425,28394156,0.5
21243212,11061773,0.5
8100172,6578551,2.0
27620277,2833537,1.5
2833537,5932749,0.5
19097645,17374628,1.0
108278,4210958,0.5
26702968,1784628,0.5
20962139,15355019,0.5
2293158,18219900,0.5
43371,27,0.5
20666775,28366058,0.5
4222911,20580498,1.0
238983,238986,1.0
6766558,7508411,0.5
71019,588600,0.5
19745004,20558462,1.0
27561243,30430269,1.5
14812631,3342055,1.0
2023124,3238243,0.5
3238243,2023124,0.5
238972,27,0.5
1739767,206084,0.5
1424470,4268140,1.5
17821820,1200050,0.5
758079,9403933,0.5
901277,4106792,0.5
18849374,14089735,0.5
4637221,19548750,1.5
1801829,3016562,1.0
9954101,14982460,0.5
7411076,1272666,0.5
4348524,167174,0.5
16354995,308770,0.5
25324340,2996011,0.5
19868180,18818187,1.0
24669372,4723248,1.5
6255503,931135,0.5
20962139,24560307,0.5
22252531,4555644,0.5
8780590,22361331,0.5
15670215,143580,0.5
23627382,22148545,1.0
3288595,3308958,3.0
10270250,11888510,0.5
1380117,27652771,2.0
2752522,2751199,0.5
29600667,26509369,4.0
17558946,321278,1.0
26077653,10270250,0.5
24669372,1020639,2.5
22002175,9787757,0.5
29939198,27776551,1.0
27105154,24560307,0.5
27105154,4128353,1.0
4137249,9090937,1.0
4090287,3678731,0.5
2916197,507775,1.0
904810,8514,0.5
9530789,19257170,0.5
15191676,7083242,0.5
6543378,19939216,2.0
15168264,1460385,1.0
4128353,321278,1.5
13131245,6209952,1.0
3631697,7691631,0.5
11589713,23096959,1.0
22993377,22660201,5.5
3193719,4164482,0.5
30433396,21399598,0.5
11002815,858127,1.5
26661814,1090311,1.0
12983151,507775,0.5
2297550,4079740,1.0
24917465,8569918,0.5
11061773,15426083,0.5
2935735,1254497,4.5
11667865,7362671,0.5
25476601,1090311,1.0
19360616,7691631,10.0
1093228,17049596,0.5
5474834,2729788,1.0
10435644,16297763,0.5
11796974,478996,1.0
23519392,206084,0.5
1914329,23096959,0.5
27562508,25652980,0.5
16180517,5952670,2.5
23291630,14087781,0.5
14087781,23291630,0.5
1446467,993110,0.5
17197934,2945088,0.5
1801329,238972,0.5
1032,15045751,0.5
238972,238983,2.5
17930752,17950592,0.5
14663768,714074,0.5
3351871,206084,0.5
13695735,10126908,0.5
11419775,11949423,0.5
26553597,10707658,0.5
6052682,206084,0.5
5433677,3319769,0.5
2410676,5801666,0.5
1195004,7639232,0.5
10126908,10975056,0.5
2410676,1446467,0.5
2410676,1362490,6.0
7480345,23148176,0.5
4090287,16029103,0.5
9998516,20580498,0.5
26077653,15062869,0.5
27652771,1380117,1.0
1599397,2338279,0.5
4025121,13049233,0.5
238972,447184,2.0
8966356,17728164,0.5
1632980,1301745,0.5
14003349,1200050,0.5
9511641,2067253,0.5
17671906,17912002,0.5
17671906,16184890,0.5
16184890,17912002,0.5
11931032,12136863,1.0
20110347,16843183,0.5
2476855,14089735,0.5
20725617,18342541,0.5
238983,238972,6.5
13667312,12912885,0.5
206084,8201256,0.5
27196756,31090585,0.5
3579088,596892,0.5
19257170,29491240,0.5
27196756,30486405,0.5
9996255,10067157,16.5
308770,8514,1.0
1402936,3342055,0.5
4331833,12244838,1.0
24117219,1385122,0.5
24117219,658518,0.5
16262387,14982460,0.5
27227932,23627382,0.5
4056288,17303641,0.5
23797315,3319769,0.5
20921872,19745004,0.5
13384052,4648505,2.0
28096281,13346571,1.0
20653934,7691631,1.5
20728874,25592861,0.5
29105003,27776551,0.5
979480,2114213,0.5
22876353,15045751,0.5
7741856,9393759,1.0
3149845,4435792,3.0
22442668,29500061,1.5
10932604,168370,1.0
16860049,7177096,0.5
238986,238983,4.0
28199205,22652644,0.5
3449635,3449583,1.0
6578551,8100172,2.0
12414082,14105478,1.5
27196756,30468314,0.5
20789757,8514,1.0
21950873,21950910,0.5
11061773,2833537,1.0
11061773,27620277,1.5
28769620,13512328,0.5
1090311,5254650,1.0
21413198,24560307,0.5
16297763,10707658,1.5
893522,11545928,0.5
12446895,3016562,0.5
167174,45547,1.5
3214406,23021810,0.5
27427758,27427417,1.0
26825462,28305425,0.5
25606869,4723248,0.5
26077653,26800584,1.0
321278,19872239,2.0
2081290,2081289,1.0
8927771,9060347,0.5
1362490,15515181,0.5
10391073,26437605,0.5
22119747,7691631,0.5
24560307,24835467,0.5
28710753,1385122,0.5
2136524,658518,0.5
8962829,757363,3.0
11796974,757363,4.5
45547,167174,3.5
206084,4106792,10.5
19994257,20666775,0.5
3876119,2634628,1.0
1204412,7056202,0.5
16745868,20260602,0.5
2338279,1599397,1.0
27719177,21399598,1.0
10780607,32848140,1.0
23059575,7691631,3.5
14798348,24946152,0.5
30859333,28924109,3.5
2081289,28710753,0.5
14448779,28710753,1.5
3427405,168370,1.5
29217912,17620347,0.5
19036577,3195124,0.5
4137249,481872,0.5
7394347,321278,0.5
